Sr. No,Date of data collection,Time of data collection,pond_id,region,Type,Is follow up,Is follow up possible,Reason follow up not possible,Group,Pond status,Observer,Equipment,Weather,DO (mg/L),pH,Turbidity (in cm),Ammonia—TAN (NH3-N) (mg/L),Ammonia—TAN (NH3) (mg/L),Ammonia—NH3 (mg/L),Temp (in °C),TDS (ppt),Alkalinity (mg/L),Hardness (mg/L),Water color,Is WQ in range?,Parameters out of range,Corrective actions requested,Corrective actions requested (other),Corrective actions amount requested,Corrective actions,Corrective actions implemented,Corrective actions implementation date,Corrective actions taken,Corrective actions taken (other),Corrective actions taken (details),Non-prescribed corrective actions taken,Reason not implemented,Water quality improved after corrective actions,Corrective action notes,Individuals air gulping,Individuals tail splashing,Dead fish,Notes (mortalities),Self-initiated corrective actions taken,Self-initiated corrective actions implemented on (exact date),Self-initiated corrective actions implemented (date range),Self-initiated corrective actions notes,Feed amount (kg),Stocking density (per acre),Species,Weight,Notes,Have fish been helped
12324,01/27/2026,07:41,pond_09e8bfb8,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,3.4,8.19,,,0.25,0.02,24.3,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,300.0,37037.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12323,01/27/2026,07:35,pond_8dd26bbf,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,3.4,8.08,,,0.25,0.01,24.0,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1500.0,2182.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12330,01/27/2026,07:30,pond_74ea5a99,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, pH pen #11, Thermometer #4",Sunny,3.5,8.11,,,0.0,0.0,23.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,500.0,6667.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12322,01/27/2026,07:30,pond_0c63298a,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,3.1,7.97,,,0.25,0.01,24.0,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1200.0,1556.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12313,01/23/2026,16:10,pond_44f24b9a,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,10.8,8.22,,,,,26.0,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2844.0,"Catla (Catla catla), Rohu (Labeo rohita)",700.0,,No
12315,01/23/2026,15:54,pond_d7feb952,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,10.3,8.24,,,,,26.2,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,10476.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12314,01/23/2026,15:45,pond_60dd3196,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,10.5,8.3,,,,,26.1,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,15068.0,"Rohu (Labeo rohita), Catla (Catla catla)",40.0,,No
12312,01/23/2026,08:05,pond_d7feb952,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,3.4,8.11,,,0.0,0.0,24.0,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,150.0,10476.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12311,01/23/2026,07:52,pond_60dd3196,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,3.7,8.2,,,0.25,0.02,24.0,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,150.0,15068.0,"Rohu (Labeo rohita), Catla (Catla catla)",40.0,,No
12310,01/23/2026,07:40,pond_44f24b9a,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,3.5,8.1,,,0.25,0.02,23.9,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1000.0,2844.0,"Catla (Catla catla), Rohu (Labeo rohita)",700.0,,No
12321,01/22/2026,17:29,pond_1d249330,Nellore,Evening,No,,,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)","Sunny, Cloud cover 75%",8.7,8.23,,,,,33.2,,,,Transparent,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,1286.0,"Rohu (Labeo rohita), Catla (Catla catla)",950.0,,No
12343,01/22/2026,16:14,pond_51789df8,Eluru,Evening,Yes,Yes,,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, pH pen #14",Sunny,11.4,8.47,,,,,27.5,,,,Dark green,Yes,,,,,Yes,,,,,,,,,,0.0,0.0,0.0,,,,,,,16000.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12342,01/22/2026,15:52,pond_a0b42194,Eluru,Evening,Yes,Yes,,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, pH pen #14",Sunny,10.4,8.42,,,,,27.6,,,,Saturated green,Yes,,,,,Yes,,,,,,,,,,0.0,0.0,0.0,,,,,,,11538.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12341,01/22/2026,15:40,pond_ac7bb683,Eluru,Evening,Yes,Yes,,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, pH pen #14",Sunny,11.1,8.37,,,,,27.6,,,,Saturated green,Yes,,,,,Yes,,,,,,,,,,0.0,0.0,0.0,,,,,,,5814.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12309,01/22/2026,15:40,pond_e95651d9,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,10.5,8.05,,,,,25.6,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,166667.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12308,01/22/2026,15:31,pond_17b6d1f2,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,10.8,8.09,,,,,25.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,1383.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12340,01/22/2026,15:30,pond_917e0459,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"Thermometer #2, Winkler's Method (DO), pH pen #14",Sunny,11.7,8.26,,,,,27.8,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,1515.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12339,01/22/2026,08:12,pond_51789df8,Eluru,Morning,Yes,Yes,,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.3,8.11,,,0.25,0.02,24.9,,,,Dark green,Yes,,,,,,"Yes, all of them",01/12/2026,Jaggery,,10 kg / Acre,,,Yes,,0.0,0.0,0.0,,,,,,300.0,16000.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12320,01/22/2026,07:59,pond_1d249330,Nellore,Morning,No,,,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)","Sunny, Cloud cover 75%, Foggy",3.5,7.97,,,0.25,0.02,29.6,,,,Transparent,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,30.0,1286.0,"Rohu (Labeo rohita), Catla (Catla catla)",950.0,,No
12338,01/22/2026,07:32,pond_a0b42194,Eluru,Morning,Yes,Yes,,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.0,8.04,,,0.5,0.03,24.3,,,,Saturated green,Yes,,,,,,"Yes, all of them",01/09/2026,"Jaggery, Stop feeding for 24 hours",,"STOP FEEDING 24 HOURS ,Zeolite, Jaggery",,,Yes,,0.0,0.0,0.0,,,,,,500.0,11538.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12307,01/22/2026,07:25,pond_e95651d9,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,3.2,7.76,,,0.0,0.0,22.8,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,100.0,166667.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12337,01/22/2026,07:20,pond_ac7bb683,Eluru,Morning,Yes,Yes,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, Thermometer #2, pH pen #14, Winkler's Method (DO)",Sunny,3.2,7.97,,,0.25,0.01,24.6,,,,Saturated green,Yes,,,,,,"Yes, all of them",01/09/2026,"Zeolite, Jaggery, Stop feeding for 24 hours",,"Zeolite,Jaggery,Stop feeding for 24 hours",,,Yes,,0.0,0.0,0.0,,,,,,600.0,5814.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12306,01/22/2026,07:17,pond_17b6d1f2,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,3.8,7.97,,,0.0,0.0,22.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,1300.0,1383.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12336,01/22/2026,07:09,pond_917e0459,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,3.6,7.68,,,0.25,0.01,24.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,800.0,1515.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12305,01/21/2026,16:20,pond_439eae87,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,10.6,8.38,,,,,26.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,3938.0,"Rohu (Labeo rohita), Catla (Catla catla)",150.0,,No
12304,01/21/2026,15:55,pond_3a0067e4,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,11.3,8.1,,,,,26.0,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,31579.0,"Rohu (Labeo rohita), Catla (Catla catla)",20.0,,No
12302,01/21/2026,15:50,pond_bee2e7f5,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,11.9,8.48,,,,,26.9,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,11029.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12317,01/21/2026,15:45,pond_e2db7a6b,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,10.4,8.45,,,,,26.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,11667.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12303,01/21/2026,15:45,pond_c2458988,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,11.4,8.36,,,,,26.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,13931.0,"Rohu (Labeo rohita), Catla (Catla catla)",40.0,,No
12301,01/21/2026,15:41,pond_b7082dc1,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,8.6,8.07,,,,,27.5,,,,Transparent,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,200000.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12300,01/21/2026,15:30,pond_eb2903bd,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,11.2,8.47,,,,,27.0,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2927.0,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12296,01/21/2026,08:12,pond_439eae87,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,3.2,8.2,,,0.25,0.02,23.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,300.0,3938.0,"Rohu (Labeo rohita), Catla (Catla catla)",150.0,,No
12297,01/21/2026,08:03,pond_eb2903bd,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)","Sunny, Foggy",3.2,8.22,,,0.25,0.02,23.3,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,10.0,0.0,,Lice medicine,01/18/2026,0-7 days ago,,550.0,2927.0,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12295,01/21/2026,07:57,pond_3a0067e4,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,3.4,7.95,,,0.25,0.01,23.9,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,50.0,31579.0,"Rohu (Labeo rohita), Catla (Catla catla)",20.0,,No
12294,01/21/2026,07:50,pond_c2458988,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,3.2,8.22,,,0.0,0.0,23.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,"Stop feeding for 24 hours, Lice medicine",01/20/2026,0-7 days ago,,200.0,13931.0,"Rohu (Labeo rohita), Catla (Catla catla)",40.0,,No
12316,01/21/2026,07:47,pond_e2db7a6b,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,3.1,7.9,,,0.25,0.01,23.9,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,300.0,11667.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12299,01/21/2026,07:47,pond_bee2e7f5,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,3.5,8.14,,,0.5,0.03,23.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,300.0,11029.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12298,01/21/2026,07:40,pond_b7082dc1,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)","Sunny, Foggy",3.2,7.75,,,0.0,0.0,23.3,,,,Transparent,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,150.0,200000.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12293,01/19/2026,16:10,pond_f6d09111,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,11.6,8.44,,,,,26.5,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,19333.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12292,01/19/2026,15:55,pond_27785ee9,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,11.1,8.1,,,,,26.4,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,66667.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
12291,01/19/2026,15:45,pond_690fd7d6,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",Sunny,11.3,8.34,,,,,26.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,11852.0,"Catla (Catla catla), Rohu (Labeo rohita)",250.0,,No
12289,01/19/2026,08:20,pond_f6d09111,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Foggy,3.7,8.3,,,0.0,0.0,24.4,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,Water inflow (only),,0-7 days ago,,50.0,19333.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12287,01/19/2026,08:10,pond_27785ee9,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Foggy,3.5,7.95,,,0.5,0.02,24.5,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,Aeration every day,,29 days or more ago,,150.0,66667.0,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
12284,01/19/2026,07:50,pond_690fd7d6,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",Foggy,3.2,8.22,,,0.25,0.02,24.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,10.0,0.0,,,,,,400.0,11852.0,"Catla (Catla catla), Rohu (Labeo rohita)",250.0,,No
12290,01/18/2026,16:51,pond_89aabef8,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,10.3,8.48,,,,,26.2,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,5842.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12288,01/18/2026,16:10,pond_05d9df8f,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,12.0,8.34,,,,,25.9,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,7368.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12286,01/18/2026,08:30,pond_05d9df8f,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",Foggy,3.9,7.93,,,0.25,0.01,23.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,300.0,7368.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12285,01/18/2026,08:08,pond_89aabef8,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",Foggy,3.1,8.1,,,0.25,0.01,23.4,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,Stop feeding for 24 hours,,0-7 days ago,,300.0,5842.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12283,01/10/2026,15:56,pond_2e1713ae,Nellore,Evening,No,,,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)","Sunny, Cloud cover 75%",9.0,8.21,,,,,30.1,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,3529.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12282,01/10/2026,08:05,pond_2e1713ae,Nellore,Morning,No,,,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)","Sunny, Cloud cover 75%, Foggy",3.4,7.93,,,0.0,0.0,25.4,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,120.0,3529.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12281,01/09/2026,16:27,pond_da579dd5,Nellore,Evening,No,,,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)","Sunny, Cloud cover 50%",8.5,8.21,,,,,30.2,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,1154.0,Rohu (Labeo rohita),750.0,,No
12280,01/09/2026,08:00,pond_da579dd5,Nellore,Morning,No,,,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)","Sunny, Cloud cover 75%, Foggy",3.2,7.96,,,0.0,0.0,25.1,,,,Light brown,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,12.0,1154.0,Rohu (Labeo rohita),750.0,,No
12265,01/08/2026,16:02,pond_bd0e0d33,Eluru,Evening,No,,,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",Sunny,10.4,8.44,,,,,26.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,121359.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12264,01/08/2026,15:51,pond_51789df8,Eluru,Evening,Yes,Yes,,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",Sunny,10.1,9.21,,,,,26.9,,,,Dark green,No,Ph,Jaggery,,10 kg / Acre,No,"Yes, all of them",,"Stop feeding for 24 hours, Zeolite",,10 kgs/acre,,,,,0.0,0.0,0.0,,,,,,,16000.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
