Sr. No,Event date,Initial entry,pond_id,region,Pond status,Type,Logged by,Data verification method,Data verified by,Lifecycle,Current fish stocking density per acre,Current shrimp stocking density per acre,Species,Species ratio,Reported target weight in grams,Communicated stock density limit,Average fish weight (in grams),Average weight of Catla (Catla catla) (in grams),Average weight of Rohu (Labeo rohita) (in grams),Average weight of Mrigal (Cirrhinus cirrhosus) (in grams),Average weight of Grass Carp (Ctenopharyngodon idella) (in grams),Average weight of Common Carp (Cyprinus carpio) (in grams),Average weight of Roopchand (in grams),Average weight of Whiteleg Shrimp (Litopenaeus vannamei) (in grams),Average weight of Pangasius (in grams),Intended fish stocking density (per acre),Intended fish stocking density (entire pond),Actual fish stocking density (per acre),Fish stocking density (entire pond),Intended shrimp stocking density (per acre),Intended shrimp stocking density (entire pond),Actual shrimp stocking density (per acre),Actual shrimp stocking density (entire pond),Fish purchases diverted,Shrimp purchases diverted,Did the farmer do pond preparation?,Explain what the farmer did for pond preparation,Is the farmer planning to do pond preparation?,Explain what the farmer is planning to do for pond preparation,Harvest reason,"Fish harvested (total, in kg)","Shrimp harvested (total, in kg)","Fish left in the pond (total, in individuals)","Shrimp left in the pond (total, in individuals)",Notes,Lifecycle is updated accordingly on the master doc,Created at
12934,12/30/2025,No,pond_bf58902e,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2907.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,250.0,,,,,,,,,2907,10000.0,2907.0,10000.0,,,,,0.0,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,01/23/2026 07:38
12846,12/26/2025,No,pond_46bbdb3a,Eluru,Treatment,Partial stocking,Chaitanya,Verbal communication,,Breed-out,5941.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,50.0,,,,,,,,,5941,60000.0,5941.0,60000.0,,,,,0.0,,0,,,,,,,,,,Yes,01/06/2026 05:56
12847,12/24/2025,No,pond_74ea5a99,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned sale,,,0,,,Yes,01/06/2026 05:58
12839,12/24/2025,No,pond_51789df8,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,16000.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,4.0,,,,,,,,,16000,80000.0,16000.0,80000.0,,,,,0.0,,0,,,,,,,,,As the farmer stocked very small fishes @4 grams each he is expecting a lot of mortalities and considers the final numbers fall within our range.,Yes,01/06/2026 05:38
12854,12/20/2025,No,pond_c2458988,Eluru,Treatment,Partial stocking,Chaitanya,Verbal communication,,Breed-out,13931.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,150.0,20000.0,20.0,,,,,,,,,13931,241000.0,13931.0,241000.0,,,,,0.0,,0,,,,,,,,,Farmer has 20 grams fishes and plans to do partial harvests for his other grow out ponds,Yes,01/06/2026 06:34
12853,12/20/2025,No,pond_3a0067e4,Eluru,Treatment,Partial harvest,Chaitanya,Verbal communication,,Rearing,31579.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,20.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,150000,,150000 fishes were transferred to their own breed out ponds,Yes,01/06/2026 06:21
12837,12/20/2025,No,pond_51789df8,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,254.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,60000,,60000 fishes were transferred to their own grow out pond.,Yes,01/06/2026 05:32
12835,12/20/2025,No,pond_c7407a79,Eluru,Control,Stocking,Chaitanya,Verbal communication,,Grow-out,2773.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,254.0,,,,,,,,,2773,60000.0,2773.0,60000.0,,,,,0.0,,0,,,,,,,,,,Yes,01/06/2026 05:30
12931,12/16/2025,No,pond_a2a9984f,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,940.0,,,,,,,,,,,,,,,,,,,,,1,Sun dry the pond bottom and removed debris,Planned harvest,9450,,0,,,Yes,01/23/2026 07:27
12596,12/16/2025,No,pond_cc57546e,Eluru,Control,Stocking,Chaitanya,Verbal communication,,Grow-out,2635.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,253.0,,,,,,,,,2635,39000.0,2635.0,39000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/20/2025 07:08
12590,12/16/2025,No,pond_c2458988,Eluru,Treatment,Partial harvest,Chaitanya,Verbal communication,,Breed-out,5260.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,250.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,91000,,39000 fishes were transferred to their own grow out pond,Yes,12/20/2025 06:40
12929,12/15/2025,No,pond_f569e116,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,Roopchand,,,,820.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,7000,,0,,,Yes,01/23/2026 07:24
12832,12/15/2025,No,pond_c7407a79,Eluru,Control,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1000.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,88000,,0,,"During stocking farmer said he will do a partial harvest, so Praveen planned to consider this pond as a breed out till partial harvest and then convert it to a grow out. But the farmer hasn't done any partial harvest and continued as grow out till the end of the cycle.",Yes,01/06/2026 05:23
12607,12/14/2025,No,pond_2781ed8d,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,11818.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,15000.0,40.0,,,,,,,,,11818,13000.0,11818.0,13000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/20/2025 10:43
12605,12/14/2025,No,pond_b6292420,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,14286.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,15000.0,40.0,,,,,,,,,14286,60000.0,14286.0,60000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/20/2025 10:39
12597,12/14/2025,No,pond_304a9d41,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Rearing,71429.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,50.0,100000.0,10.0,,,,,,,,,71429,200000.0,71429.0,200000.0,,,,,0.0,,1,"Sun dry the pond bottom, removed sludge and strengthened the dykes",,,,,,,,,Yes,12/20/2025 07:13
12564,12/14/2025,No,pond_f1f0953d,Eluru,Control,Stocking,Chaitanya,Verbal communication,,Grow-out,2268.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,2500.0,300.0,,,,,,,,,2268,100000.0,2268.0,100000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/19/2025 08:48
12601,12/13/2025,No,pond_f6d09111,Eluru,Treatment,Partial harvest,Chaitanya,Verbal communication,,Nursery,19333.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,40.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,29000,,121000 fishes were transferred to their breed out ponds,Yes,12/20/2025 07:27
12599,12/13/2025,No,pond_60dd3196,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,15068.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,15000.0,40.0,,,,,,,,,15068,55000.0,15068.0,55000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/20/2025 07:21
12566,12/13/2025,No,pond_eb2903bd,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2927.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,350.0,,,,,,,,,2927,44000.0,2927.0,44000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/19/2025 09:21
12930,12/12/2025,No,pond_da9e5287,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,700.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,1695,,0,,,Yes,01/23/2026 07:26
12600,12/12/2025,No,pond_d7feb952,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,10476.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,15000.0,50.0,,,,,,,,,10476,66000.0,10476.0,66000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/20/2025 07:24
12594,12/12/2025,No,pond_56e8a695,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2052.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,2500.0,157.0,,,,,,,,,2052,59500.0,2052.0,59500.0,,,,,0.0,,0,,,,,,,,,,Yes,12/20/2025 06:53
12589,12/12/2025,No,pond_cc547e32,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Rearing,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,180000 fishes were transferred to their own grow out pond,Yes,12/20/2025 06:37
12588,12/12/2025,No,pond_80e22f42,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2963.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,206.0,,,,,,,,,2963,80000.0,2963.0,80000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/20/2025 06:33
12570,12/12/2025,No,pond_4e07e1a3,Eluru,Control,Stocking,Chaitanya,Verbal communication,,Grow-out,2516.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,259.0,,,,,,,,,2516,81000.0,2516.0,81000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/19/2025 12:07
12609,12/11/2025,No,pond_a32076ad,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,13208.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,15000.0,60.0,,,,,,,,,13208,70000.0,13208.0,70000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/20/2025 10:47
12928,12/10/2025,No,pond_aae69640,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,960.0,,,,,,,,,,,,,,,,,,,,,1,Sun dried the pond bottom and removed debris,Planned harvest,12490,,0,,,Yes,01/23/2026 07:17
12591,12/10/2025,No,pond_60e4cad8,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,20000 fishes were sold to grow out farmers.,Yes,12/20/2025 06:43
12476,12/06/2025,No,pond_7fc56232,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,980.0,,,,,,,,,,,,,,,,,,,,,1,Sun dried the pond bottom and added bleach,Planned harvest,13720,,0,,,Yes,12/13/2025 06:11
12484,12/05/2025,No,pond_1d648007,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2386.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,100.0,,,,,,,,,2386,2100.0,2386.0,2100.0,,,,,0.0,,0,,,,,,,,,,Yes,12/13/2025 10:42
12598,12/04/2025,No,pond_08867f11,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,1,"Sun dry the pond bottom, remove sludge and strengthen the dykes",Planned harvest,105000,,0,,,Yes,12/20/2025 07:15
12595,12/03/2025,No,pond_cc57546e,Eluru,Control,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1400.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,55000,,0,,,Yes,12/20/2025 06:55
12587,12/03/2025,No,pond_80e22f42,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,90000,,0,,,Yes,12/20/2025 06:29
12565,12/02/2025,No,pond_eb2903bd,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,54000,,0,,,Yes,12/19/2025 08:51
12475,12/02/2025,No,pond_b842374c,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,960.0,,,,,,,,,,,,,,,,,,,,,1,Sun dried the pond bottom and added bleach,Planned harvest,4800,,0,,,Yes,12/13/2025 05:59
12616,12/01/2025,No,pond_727e3097,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,12791.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300.0,10000.0,60.0,,,,,,,,,12791,55000.0,12791.0,55000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/20/2025 11:20
12592,12/01/2025,No,pond_5f07dc7a,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,250.0,,,,,,,,,,,,,,,,,,,,,1,"Emptied the pond, given tilapia killing medicine and added new water",Planned harvest,,,0,,75000 fishes were sold out to grow out farmers,Yes,12/20/2025 06:47
12417,12/01/2025,No,pond_9644548f,Eluru,Control,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,900.0,,,,,,,,,,,,,,,,,,,,,0,,,50000,,0,,,Yes,12/08/2025 05:56
12593,11/30/2025,No,pond_56e8a695,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1800.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,104000,,0,,,Yes,12/20/2025 06:49
12416,11/30/2025,No,pond_bd0e0d33,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Nursery,121359.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,80.0,100000.0,5.0,,,,,,,,,121359,500000.0,121359.0,500000.0,,,,,0.0,,1,Sun dried the pond bottom and removed sludge,,,,,,,,,Yes,12/08/2025 05:40
12563,11/29/2025,No,pond_f1f0953d,Eluru,Control,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,130000,,0,,,Yes,12/19/2025 08:45
12481,11/27/2025,No,pond_373669d6,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,848.0,,Rohu (Labeo rohita),9:1,1500.0,2000.0,200.0,,,,,,,,,848,1400.0,848.0,1400.0,,,,,0.0,,0,,,,,,,,,,Yes,12/13/2025 10:31
12852,11/25/2025,No,pond_3da22c74,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,83000 fishes were sold to other grow out farmers,Yes,01/06/2026 06:14
12472,11/22/2025,No,pond_2ec8980d,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,Roopchand,,,,930.0,,,,,,,,,,,,,,,,,,,,,1,Sun dried the pond bottom and added bleach,Planned harvest,9300,,0,,,Yes,12/13/2025 05:49
12419,11/22/2025,No,pond_87edd7c9,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2304.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,2500.0,263.0,,,,,,,,,2304,44000.0,2304.0,44000.0,,,,,0.0,,1,"Sun dry the pond bottom, removed sludge and strengthen the dykes",,,,,,,,,Yes,12/08/2025 06:04
12366,11/22/2025,No,pond_a0b42194,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,11538.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,30.0,,,,,,,,,11538,150000.0,11538.0,150000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/04/2025 04:21
12474,11/21/2025,No,pond_1dbb9f8d,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,760.0,,,,,,,,,,,,,,,,,,,,,1,Sun dried the pond bottom and added bleach,Planned harvest,3800,,0,,,Yes,12/13/2025 05:53
12299,11/21/2025,No,pond_46bbdb3a,Eluru,Treatment,Partial harvest,Chaitanya,Verbal communication,,Breed-out,990.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,10000,,50000 fishes were transferred to other grow-out pond.,Yes,11/26/2025 08:41
12353,11/20/2025,No,pond_522cd38a,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,6316.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,50.0,,,,,,,,,6316,120000.0,6316.0,120000.0,,,,,0.0,,0,,,,,,,,,,Yes,12/02/2025 05:53
12615,11/19/2025,No,pond_727e3097,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1100.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,18000,,0,,"As per Sanjay, Praveen missed doing two partial harvests in between
1. 25,000 fishes were harvested @320 grams average weight 8000 kgs 
2. 10,000 fishes were harvested @700 grams average weight 7000 kgs",Yes,12/20/2025 11:17
12302,11/19/2025,No,pond_304a9d41,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Rearing,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,150.0,,,,,,,,,,,,,,,,,,,,,1,"Sun dry the pond bottom, remove sludge and strengthen the dykes.",Planned harvest,,,0,,"Sold 1,00,000 fishes to breed out farmers",Yes,11/26/2025 08:52
12471,11/18/2025,No,pond_aabd8703,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1200.0,,,,,,,,,,,,,,,,,,,,,1,Sun dried the pond bottom and added bleach,Planned harvest,8400,,0,,,Yes,12/13/2025 05:48
12301,11/18/2025,No,pond_0b0963e5,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,5357.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,50.0,,,,,,,,,5357,30000.0,5357.0,30000.0,,,,,0.0,,0,,,,,,,,,,Yes,11/26/2025 08:47
12614,11/16/2025,No,pond_369dc183,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,850.0,,,,,,,,,,,,,,,,,,,,,0,,,43000,,0,,,Yes,12/20/2025 11:03
12480,11/16/2025,No,pond_ba85724b,Nellore,Treatment,Stocking,Chaitanya,Verbal communication,,Rearing,23474.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,100.0,30000.0,20.0,,,,,,,,,23474,50000.0,23474.0,50000.0,,,,,0.0,,1,Sun dried the pond bottom and added bleach,,,,,,,,,Yes,12/13/2025 10:15
12470,11/16/2025,No,pond_0b972252,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1200.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,78000,,0,,,Yes,12/13/2025 05:45
12473,11/15/2025,No,pond_07ed9225,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,Roopchand,,,,650.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,2390,,0,,,Yes,12/13/2025 05:52
12613,11/14/2025,No,pond_7ef7fef9,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,300.0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,10000 fishes were sold to other farmers,Yes,12/20/2025 11:01
12612,11/14/2025,No,pond_bed02137,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,50.0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,10000 fishes were sold to other farmers,Yes,12/20/2025 10:59
12468,11/13/2025,No,pond_bf58902e,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,970.0,,,,,,,,,,,,,,,,,,,,,1,Sun dried the pond bottom and added bleach,Planned harvest,11670,,0,,,Yes,12/13/2025 05:34
12304,11/12/2025,No,pond_d7feb952,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,250.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,60000 fishes were sold to grow out farmers,Yes,11/26/2025 09:01
12303,11/12/2025,No,pond_60dd3196,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,250.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,51000 fishes were sold to grow-out farmers,Yes,11/26/2025 08:59
12213,11/12/2025,No,pond_8902ecd3,Eluru,Control,Stocking,Chaitanya,Verbal communication,,Grow-out,2500.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,2500.0,260.0,,,,,,,,,2500,55000.0,2500.0,55000.0,,,,,0.0,,0,,,,,,,,,,Yes,11/20/2025 05:16
12178,11/12/2025,No,pond_41a4dead,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2398.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,259.0,,,,,,,,,2398,88000.0,2398.0,88000.0,,,,,0.0,,0,,,,,,,,,,Yes,11/19/2025 05:14
12137,11/12/2025,No,pond_9a0003fb,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2704.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,312.0,,,,,,,,,2704,64000.0,2704.0,64000.0,,,,,0.0,,0,,,,,,,,,,Yes,11/17/2025 05:28
12413,11/08/2025,No,pond_4e07e1a3,Eluru,Control,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1500.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,120000,,0,,,Yes,12/08/2025 05:23
