Sr. No,Date of data collection,Time of data collection,Pond ID,Type,Is follow up,Is follow up possible,Reason follow up not possible,Group,Pond status,Observer,Equipment,Weather,DO (mg/L),pH,Turbidity (in cm),Ammonia—TAN (NH3-N) (mg/L),Ammonia—TAN (NH3) (mg/L),Ammonia—NH3 (mg/L),Temp (in °C),TDS (ppt),Alkalinity (mg/L),Hardness (mg/L),Water color,Is WQ in range?,Parameters out of range,Corrective actions requested,Corrective actions requested (other),Corrective actions amount requested,Corrective actions,Corrective actions implemented,Corrective actions implementation date,Corrective actions taken,Corrective actions taken (other),Corrective actions taken (details),Non-prescribed corrective actions taken,Reason not implemented,Water quality improved after corrective actions,Corrective action notes,Individuals air gulping,Individuals tail splashing,Dead fish,Notes (mortalities),Self-initiated corrective actions taken,Self-initiated corrective actions implemented on (exact date),Self-initiated corrective actions implemented (date range),Self-initiated corrective actions notes,Feed amount (kg),Stocking density (per acre),Species,Weight,Notes,Have fish been helped
12843,03/11/2026,07:05,pond_d81b6f9f,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.7,8.32,,,0.0,0.0,27.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,100,117647,"Rohu (Labeo rohita), Catla (Catla catla)",15.0,,No
12838,03/10/2026,08:23,pond_aae02d77,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.0,8.08,,,0.0,0.0,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,600,5625,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,,No
12816,03/10/2026,08:10,pond_d5629838,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.5,7.95,,,0.0,0.0,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Increase fertilization",03/10/2026,,Super 500 kgs,750,2230,"Rohu (Labeo rohita), Catla (Catla catla)",400.0,,No
12809,03/10/2026,08:10,pond_55356fc9,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.2,8.22,,,0.0,0.0,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,800,2358,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12837,03/10/2026,08:05,pond_bdf8fe72,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), Thermometer #3, API Ammonia Test Kit, pH pen #13",Sunny,3.2,8.32,,,0.0,0.0,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,300,7576,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,,No
12813,03/10/2026,08:03,pond_49ea61c0,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.7,8.09,,,0.25,0.02,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1000,2324,"Rohu (Labeo rohita), Catla (Catla catla)",400.0,,No
12836,03/10/2026,07:57,pond_fc8ef4d2,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.2,8.31,,,0.0,0.0,27.8,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,500,6667,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12827,03/10/2026,07:54,pond_c01f770d,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.4,8.04,,,0.0,0.0,28.1,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Increase fertilization",03/10/2026,,Super 300 kgs,1000,2424,"Catla (Catla catla), Rohu (Labeo rohita)",900.0,,No
12807,03/10/2026,07:52,pond_87edd7c9,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.1,8.08,,,0.0,0.0,27.7,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,450,2304,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12824,03/10/2026,07:48,pond_f86d5d94,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, API Ammonia Test Kit, pH pen #14",Sunny,3.9,8.25,,,0.25,0.03,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,Water sanitizers,03/09/2026,,,1000,3243,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12812,03/10/2026,07:45,pond_b296eebf,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.2,7.98,,,0.5,0.03,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,"Aeration every day, Lice medicine, Stop feeding for 24 hours",03/06/2026,0-7 days ago,,2400,2078,"Catla (Catla catla), Rohu (Labeo rohita)",1400.0,,No
